13,14,14,15,20,20,20,20,20,20,20,20,20,16,12,12,11,11,10,8
14,14,14,15,20,20,20,20,20,20,20,20,20,15,12,11,11,10,9,7
14,14,15,20,20,20,20,20,20,20,20,20,20,14,12,11,11,10,9,7
14,15,15,20,20,20,20,20,20,20,20,20,20,13,11,11,10,10,9,7
15,15,15,20,20,20,20,20,20,20,20,20,20,13,11,11,10,10,9,6
15,15,15,20,20,20,20,20,20,20,20,20,20,12,11,10,10,9,8,6
15,15,16,20,20,20,20,20,20,20,20,20,20,11,10,10,10,9,8,6
16,16,16,20,20,20,20,20,20,20,20,20,20,11,10,10,9,9,8,5
16,16,20,20,20,20,20,20,20,20,20,20,20,10,9,9,9,8,7,5
17,16,20,20,20,20,20,20,20,20,20,20,11,9,9,9,9,8,7,4
18,17,20,20,20,20,20,20,20,20,20,20,10,8,8,8,8,7,6,3
19,18,20,20,20,20,20,20,20,20,20,20,8,7,7,8,7,7,6,2
19,20,20,20,20,20,20,20,20,20,20,9,6,6,6,6,6,6,5,2
19,20,20,20,20,20,20,20,20,20,17,4,4,5,5,5,5,4,4,2
19,20,20,20,20,20,20,20,19,18,10,1,1,2,3,3,3,3,2,2
19,20,20,20,20,20,20,19,17,14,1,1,1,1,1,1,1,1,1,2
