13,14,14,14,20,20,20,20,20,20,20,20,20,20,12,11,11,11,10,8
14,14,14,20,20,20,20,20,20,20,20,20,20,20,12,11,11,10,9,7
14,14,14,20,20,20,20,20,20,20,20,20,20,20,12,11,11,10,9,7
15,15,14,20,20,20,20,20,20,20,20,20,20,20,11,11,10,10,9,6
15,15,15,20,20,20,20,20,20,20,20,20,20,12,11,10,10,9,8,6
16,15,15,20,20,20,20,20,20,20,20,20,20,11,10,10,9,9,8,5
17,16,20,20,20,20,20,20,20,20,20,20,20,10,9,9,9,8,7,4
18,17,20,20,20,20,20,20,20,20,20,20,20,9,9,9,8,8,7,3
19,17,20,20,20,20,20,20,20,20,20,20,9,8,8,8,8,7,6,2
19,18,20,20,20,20,20,20,20,20,20,20,7,7,7,7,7,6,5,2
19,20,20,20,20,20,20,20,20,20,19,8,5,5,6,6,6,5,4,2
19,20,20,20,20,20,20,20,19,19,14,3,3,4,4,5,4,4,3,2
19,20,20,20,20,20,20,19,18,16,9,1,1,2,3,3,3,2,2,2
19,20,20,20,20,20,20,19,17,14,2,1,1,1,1,1,1,1,1,2
20,20,20,20,20,20,19,18,16,12,1,1,1,1,1,1,1,1,1,1
20,20,20,20,20,20,19,17,15,10,1,1,1,1,1,1,1,1,1,1
